id|division|disease|name|composition|dose|indication
471|内科|水肿|扁豆散|扁豆适量、灯芯草适量。|扁豆炒黄，研细末，每日3次，每次10克。以灯芯草汤送下，空腹食用。|适用水肿。
472|内科|水肿|利水三子丸|花椒子100克。车前子15克、葶苈子15克。|花椒子炒后，几味共研细末，以枣珣和为丸，每日2次，每次6克。|适肾炎水肿。
473|内科|水肿|牵牛子粳米粥|粳米100克、生姜10克、黑牵牛子15克、白牵牛子12克。|将生姜、黑牵牛子、白牵牛子捣为末。先以粳米煮粥，后入几味，拌匀，空腹食用。|适小便不通、周身浮肿。
474|内科|水肿|冬麻子粳米粥|粳米100克、冬麻子30克、调料适量。|先煎冬麻子，去渣取汁，入米煮粥，熟后入调料搅匀，空腹食用。|适头面浮肿。
475|内科|水肿|桑皮青粱米粥|青粱米100克、桑白皮30克。|先煎桑白皮，去渣取汁，入米煮粥。每日1次，空腹食用。|适面、足部浮肿。
476|内科|水肿|扁豆枣米粥|玉米50克、白扁豆25克、大枣12枚、粳米50克。|上味共煮成稀粥，空腹食用。|适营养不良性水肿。
477|内科|水肿|豆陈皮鸭|老鸭一只、赤小豆50克、花生米50克、陈皮10克|以上（不清楚）味片叱上熟烂，每日1剂，分次服食。|适营养不良性水肿。
478|内科|水肿|猪肉粳米粥|野猪肉500克、粳米100克、调料适量。|将野猪肉洗净、切细，与调料共煮至熟烂，取肉食之；取汁入米煮粥，空腹食用（勿入食盐）。|适水肿日久，身体虚弱。
479|内科|水肿|田鼠粳米粥|粳米100克、肥田鼠1只。|田鼠去皮及内脏，煮烂取肉，切细与粳米入汁中煮粥，空腹食用。|适浮肿、腹水。
480|内科|水肿|赤豆红枣瓜皮煎|红枣10枚、赤小豆50克、西瓜皮50克、冬瓜皮50克、葫芦壳50克。|先煎赤小豆，即将熟时入另四味，共煮至熟，每日1剂，以浮肿消退为度。|可用于慢性肾病引起之浮肿。
481|内科|水肿|红糖蚕豆沙|蚕豆250克、红砂糖150克。|将蚕豆研磨成细粉，拌入红糖，加少量水，搅成泥状，上锅大火蒸1小时，每日3次，每次50克。空腹食用。可连续服。|适用水肿。
482|内科|水肿|冬瓜花生赤豆汤|赤小豆150克、冬瓜500克、花生米50克。|先煎赤小豆与花生米，煮熟以后入冬瓜再煮2沸后即可食用。每日1剂，分次服完。|适营养不良性水肿及肾虚浮肿。
483|内科|水肿|洋姜煎|生洋姜根块50克(鲜品150克）。|上味水煎服。每日1剂。|适用浮肿。
484|内科|水肿|虫笋葫芦瓜皮煎|虫笋100克、陈葫芦100克、冬瓜皮50克。|上儿味水煎服。每日1剂。|适各种水肿。
485|内科|水肿|南瓜蒂散|南瓜蒂适量。|南瓜蒂烧存性，研细末，每日3次，每次3克。温开水送服。|适浮肿腹水。
486|内科|水肿|绿豆黄颡鱼汤|黄颡鱼3尾，绿豆50克、蒜头1头。|上三味不加盐，水煮烂，去鱼，食豆饮汤。|适用肾性水肿。
487|内科|水肿|大蒜蜂蜜蒸食|大蒜250克。蜂蜜120克。|上二味共放于碗内蒸熟后食之，每日1次。|适用浮肿。
488|内科|水肿|枣姜牵牛子膏|生姜500克、红糖250克、火枣500克、黑牵牛子250克、白牵牛子250克。|火枣去皮及核，牵牛子炒燥研末。将几味共熬成膏，每日3次，每次10克。|适用水肿。
489|内科|水肿|甘遂烧蛋|鸡蛋1只、甘遂1.2克。|将甘遂研末，鸡蛋打一小孔，装人甘遂末，烧熟食之。|适多种水肿。
490|内科|水肿|大枣万年青叶煎|大枣8枚，鲜万年青叶20克。|上二味水煎服。每日1次。|适水肿。
491|内科|水肿|明矾蛋卵|鸡蛋1只、明矾1块(黄豆大）。|将鸡蛋打一小孔，将明矾装入，煮或蒸熟食用。每日1次。|适水肿。
492|内科|水肿|黑矾蜜汁饮|红糖120克、蜂蜜120克、黄酒120克、黑矾60克。|将几味共置一起炖化，每日3次，每次10克。温开水送服。|适用水肿。
493|内科|水肿|消肿补肾粥|黑芝麻50克、核桃仁50克。红小豆60克、西瓜皮1000克。|先将红小豆泡发，用水煮西瓜皮后取汁，连同泡豆汤一起煮红小豆，半熟时入黑芝麻及核桃仁，共煮至熟烂，每日1次，分次空腹食用。|适各类虚肿。
494|内科|淋证|椿柏蜜汁饮|椿根皮50克、车前草40克、川柏15克、蜂蜜30克。|将前三味水煎后去渣取汁，入蜂蜜后饮服。|可适用泌尿系感染。
495|内科|淋证|桔草蜜煎子|越桔叶15克、车前草20克。蜂蜜30克。|前二味加水两煎，将二液合并入蜂蜜，分3次服。|适泌尿系感染者服用。
496|内科|淋证|葵茎煎|向日葵茎40克。|上味水煎2〜3沸即可，每日1剂，分2次服。|适用尿路感染。
497|内科|淋证|导赤蜜汁饮|竹叶10克、灯芯10克、车前子12克、大蒜1头、蜂蜜30克。|先将大蒜去皮，将前四味水煎，两煎合并后入蜂蜜分2次服用。|适尿急、尿痛。
498|内科|淋证|滑石瞿麦粥|滑石30克、瞿麦10克、粳米100克。|将滑石用布包扎，与瞿麦同入砂锅煎汁，去渣取汁，入粳米煮为稀粥。每日1剂，分2次食用。服5天为1个疗程。|适用尿痛、尿急、尿频。
499|内科|淋证|竹叶石膏糖粥|鲜竹叶45克（干品25克）、生石膏50克、粳米100克、砂糖25克。|先将竹叶与石膏共煎汁，去渣，入粳米煮粥，熟后入砂糖。每日1剂，分2次服。|适用于急性膀胱炎。
500|内科|淋证|车前猪肚汤|鲜车前草70克(干品30克）、猪小肚200克、食盐少许。|将猪小肚切成小块，与车前草共同煲汤，食盐淡调味，食肚饮汤。每日2次。|适用于泌尿系炎症。
501|内科|淋证|香附糖汁饮|鲜香附60克、白糖60克。|将香附捣烂，加白糖捽匀，温水冲服。每日1剂。|可适用尿痛、尿急、尿频。
502|内科|淋证|白糖豆芽汁|绿豆芽500克。白糖100克。|将绿豆芽捣烂，用白纱布绞水，入白糖1次服下。|适用泌尿系感染引起的尿痛。
503|内科|淋证|糖槐米冲剂|槐米30克、白糖30克。|将槐米碾碎同白糖一起拌匀，开水冲服。|用于尿道热痛。
504|内科|淋证|羊肺赤豆粥|羊肺1具、赤小豆50克。|将上二味共煮熟烂，空腹食之。|用于尿频。
505|内科|淋证|益智鸡肠汤|鸡肠1具、葱白1茎、益智仁12克。|将几味共置于一起煲汤，每日上午饮服1次。|用于尿频。
506|内科|淋证|三汁蜜饮|葡萄汁100克、藕汁100克、地黄汁100克。蜂蜜150克。|上几味加一起煮汤，每日服3次。|用于泌尿系炎症引起之尿痛。
507|内科|淋证|大麦蜜姜饮|大麦150克、生姜汁30毫升、蜂蜜30毫升。|大麦加水2大碗，煎取1碗，去渣。加入姜汁、蜂蜜，每日1剂，分3次饭前服。|适小便疼痛难忍。
508|内科|淋证|葵菜二米粥|葵菜200克、绿豆40克、粳米100克。|先将绿豆煮熟；再用水煮葵菜，去渣取汁.将绿豆及药汁入米共煮成粥，每日1剂。|用于泌尿系炎症。
509|内科|淋证|导赤米粥|小米100克、木通15克、生地黄30克。|先煎生地、木通，去渣取汁，后入小米煮粥。每日1剂。|用于尿路感染引起之尿痛。
510|内科|淋证|桃仁冰糖糊|胡桃仁200克、麻油200克、冰糖200克。|用麻油将胡桃仁炸酥，研细末，与冰糖调成乳状，每日1剂，分3次服。|适泌尿系结石。 
511|内科|淋证|芥柏蜜粥|柏子仁12克、白芥子9克、滑石12克、粳米30克。蜂蜜50克。.|将前三味水煎，去渣取汁，入米煮粥，熟后用蜂蜜调味，空腹食用。早、晚各1次。|适膀胱结石，小便痛。
512|内科|淋证|红糖树末煎|柳树虫蛀末250克、红糖120克。|前味水煎，冲红糖水饮服。隔日服。|适泌尿系结石
513|内科|淋证|蜜制萝卜|萝卜1个。|将萝卜切成一指厚5片，用蜂蜜淹4小时后焙干，反复2次，不可焦。以淡盐水送服。|用于尿路结石
514|内科|淋证|钱草蜜汁饮|金钱草80克、蜂蜜50克。|上二味煎服。每日1次。|适泌尿系结石。
515|内科|淋证|床草枣汤|鲜爵床草100克〈干品减半）、红枣40克。|将爵床草洗净切碎，同红枣一起加水煎，每日1剂，分2次服。饮药汁食枣。|用于前列腺炎引起的小便不尽。
516|内科|淋证|葵根蜜汁饮|葵花根50克、绿豆芽100克、蜂蜜30克。|先煎葵花根，取汁煮沸，用药汁煮绿豆芽1沸即入蜂蜜。每日1剂。|用于前列腺炎引起的尿急、尿痛。
517|内科|淋证|葵菜叶羹|葵菜叶适量。|将葵菜叶洗净，煮沸加入适量淀粉作羹，调入少许食盐，每日空腹食2次。|用于前列腺炎引起的尿急，小便淋满不尽。
518|内科|肾小球肾炎|瓜皮赤豆汤|西瓜皮50克、赤小豆50克、茅根40克。|上三味加水煮两煎，早、晚分服。可连用数剂。|用于因急性肾炎出现的水肿。
519|内科|肾小球肾炎|西瓜羹|大西瓜取四分之一、红皮蒜3头。|将蒜去皮，插在西瓜瓤上。放在碗内蒸熟，将汤、瓤、蒜一同服下。每日2次。|用于急性肾炎的水肿。
520|内科|肾小球肾炎|玉米须冲饮|鲜玉米须1500克、白糖500克。|将玉米须洗净，加适量水煎2小时，去渣取汁，再以文火煎浓，后离火放冷，拌入干燥白糖将煎液吸干，晒干，压碎备用。每日服3次，每次取10克冲服。10天为1个疗程。|可用于水肿者。
521|内科|肾小球肾炎|鲤鱼汤|活鲤鱼1条，商陆根9克。|将龟洗净，去内脏留鳞，将商陆根填入鱼腹中，放于锅内，加水煎煮，至黄色浓汁为度，不加调料，第1次汤400毫升；第2次将鱼加水再煎，吃鱼饮汤。|用于急性肾炎水肿者。
522|内科|肾小球肾炎|葱白车前粥|鲜车前叶50克、葱白茎1裉、粳米60克。|将前二味水煎，去渣取汁，后入粳米煮粥，每日1剂，分2次服。1周为1个疗程。|用于急性肾炎水肿者。
523|内科|肾小球肾炎|米须消肿汤|玉米须10克1玉米粒25粒、蝉衣3个、蛇蜕1条。|上各味水煎服。每日2次，1月为1个疗程。|肾炎患者可服之。
524|内科|肾小球肾炎|西瓜膏|西瓜皮、西瓜汁适量|西瓜皮绞汁，加原西瓜汁，浓缩成西瓜膏，每日2次，每次2匙，开水化服。|急性肾炎者可服食。
525|内科|肾小球肾炎|玉米煎|玉米芯、玉米根各100克。，|上二味水煎去渣取汁，加适量白糖，每日分2次服。|可用于急性肾炎患者。
526|内科|肾小球肾炎|槟榔消肿汤|槟榔果皮25克、鲜荸荠荠苗50克。|上二味水煎，每日1剂，分早、晚服。|用于急性肾炎浮肿者。
527|内科|肾小球肾炎|芡实红枣汤|芡实8克、红枣4个。|将上二味水煎，每日1剂二煎，早、晚各服1次。|可用于急性肾炎全身水肿者。
528|内科|肾小球肾炎|荠菜葶苈饮|荠菜50克、葶苈子50克。|上二味水煎，去渣取汁，1日分3次服。|适用于急性肾炎水肿者。
529|内科|肾小球肾炎|鲤鱼汤|鲜鲤鱼1条、鲜冬瓜皮1000克、鲜葱白250克。|鲤鱼去内脏留鳞，洗净。同冬瓜皮、葱白煮汤，去渣，每日1剂，分3次食服。|可用于急、慢性肾炎患者。
530|内科|肾小球肾炎|三豆汤|赤小豆30克、绿豆15克、黑豆10克、鲜茅根30克、玉米须50克。|上几味加水煎，每日1剂，早、晚服。|肾炎病人可服用。
531|内科|肾小球肾炎|黄鸡汤|黄母鸡1只，龙葵豆7粒，大麻仁7粒、黑豆1把、红糖1000克、生姜适量。|将鸡去毛及内脏，洗净，把药入鸡腹内，置锅内加水及红糖同煮汤，1日内服完。食后盖被取汗，忌吹风。隔日服。连用数剂。|用于急性肾炎。
532|内科|肾小球肾炎|桂枝粳米粥|桂枝6克、生姜12克、大枣6枚、粳米60克。|将几味共煮粥食。每日2次，长期服用。|可作慢性肾炎患者膳食。
533|内科|肾小球肾炎|青鸭粥|青头雄鸭1只、葱白3茎、粳米适量。|青鸭肉加葱煮至极烂，取鸭，用鸭扬入米煮粥，食鸭饮粥。每日1剂，可分次服完，连用1周。|.慢性肾炎者可服食。
534|内科|肾小球肾炎|朴虚猪肉汤|猪瘦肉200克、大蓟干根30克、兖州卷柏25克、积雪草20克、车前草20克。|将各味药与猪肉共水煎，去药留肉、汁，食肉饮汤。每日1剂，早、晚饭前分服。|可用于慢性肾炎患者。
535|内科|肾小球肾炎|西瓜霜|西瓜1个。|将西瓜蒂部切开，挖去瓤、子，装满大蒜盖好蒂部，以纸筋泥封固，埋于糠火中煨透，取出研末。每次取5克。每日2次。|适慢性肾炎浮肿者。
536|内科|肾小球肾炎|蒜鸭汤|3年以上绿头老鸭1只，蒜头5枚。|将鸭去毛及内脏，填入蒜头，煮至烂熟，吃鸭、蒜饮汤。隔2日服1只。|适用各型慢性肾炎食用。
537|内科|肾小球肾炎|烧烤黑鱼|大黑鱼1尾、大蒜、赤小豆适量。|将鱼去肠留鳞，鱼腹中填满大蒜，赤小豆，用厚草纸包好入水中浸透，放于灰火中煨熟，取出后蘸醋食用。1日内分次吃完，连服数天。|用于慢性肾炎引起的浮肿。
538|内科|肾小球肾炎|附片茯苓粥|制附片6克。茯苓20克、粳米60克。|将前二味用纱布包好，水煎，入粳米煮粥，早、晚餐空腹食用。15天为1个疗程，可连服数个疗程。|可用于慢性肾炎。
539|内科|肾小球肾炎|鲤鱼汤|鲤鱼1条、黄豆50克、冬瓜200克、葱白适量。|将鱼去鱗及内脏洗净，同黄豆、冬瓜一起煮汤。每日中午空腹食用。20天为1个疗程。|可作僵性肾炎者膳食。
540|内科|肾小球肾炎|葫芦红枣汤|葫芦壳50克、冬瓜皮50克、红枣10枚。|将各味共加水煎，去渣饮服。每日1剂。|用于慢性肾炎浮肿者。
541|内科|肾小球肾炎|丝瓜鲢鱼汤|鲢鱼1条、丝瓜络15克、糖适量。|鲢鱼加丝瓜络共用水煎煮至熟，去丝瓜络，加糖调味，饮汤吃鱼。每日1次。|肾炎患者可食之。
542|内科|肾小球肾炎|商陆粳米粥|商陆4克、粳米60克。|先煎商陆，去渣取汁，入粳米煮粥，隔日服1次。|用于慢性肾炎水肿者。
543|内科|肾小球肾炎|菠萝白糖散|鲜茅根250克、鲜菠萝汁50克、白糖500克。|将鲜茅根加水适量煎，取汁后加水再煎，去渣取汁；二药再加文火煎浓，入鲜菠萝汁煎至稠状时放入干白糖将煎液吸干，晒干，压碎备用。每日3次，每次10克。沸水冲服。|可用于肾炎。
544|内科|肾小球肾炎|山药粳米粥|山药片60克(鲜品加倍）、补骨脂9克、吴茱萸3片、粳米60克。|将几味共煮粥，每日1剂，早、晚分服。|慢性肾炎者可长期服用。
545|内科|肾小球肾炎|冬瓜砂仁汤|冬瓜1000克、砂仁30克。|上二味共炖汤饮服。每日1剂，15天为1个疗程。|适慢性肾炎病人。
546|内科|肾小球肾炎|黑豆猪肉汤|黑豆100克、猪瘦肉500克。|上二味共炖汤，每日1剂，分2次服。20天为1个疗程。|用于慢性肾炎脾肾亏损者。
547|内科|肾小球肾炎|猪肝豆米粥|绿豆50克、大米100克、鲜猪肝100克。|先将前二味煮至熟烂，将鲜猪肝切碎，加入，煮熟后不加食盐服用。每日1剂，分2次空腹服用。可常食。|用于慢性肾炎病久肾亏者。
548|内科|肾小球肾炎|大蒜附子赤豆粥|大蒜5枚、附子12克、赤小豆200克。|用布包附子与赤小豆共煎，豆熟为度，去附子；大蒜剥皮切碎，入粥再煎20分钟，每日1剂，分次空腹服完。|可做肾炎患者膳食。
549|内科|肾小球肾炎|烤红鲤|红鲤鱼1条、生矾15克。|将鱼破开，不见水及食盐，将生矾研末入腹中，用草纸包裹，外包黄泥，放于灶内煨熟，去皮，1日内分次服完。隔2日服1次。|肾炎病人可食用。
550|内科|肾小球肾炎|蚕豆冬瓜皮汤|陈蚕豆200克、冬瓜皮150克、红糖150克。|前二味在砂锅内加清水煎，熟烂后入红糖，1日内分次服完。|可用于肾炎水肿者。
551|内科|肾小球肾炎|猪肾汤|猪肾1只，芡实20克、党参30克、食盐、白酒适量。|将猪肾剖开，以盐、酒搓洗去味，与药共煮汤，不放盐，每日1剂，10天为1个疗程。|慢性肾炎病人可服食。
552|内科|肾小球肾炎|黄芪粳米粥|黄芪40克、粳米60克、陈皮末1克、红糖适量。|先将黄芪煎汤去渣取汁；入粳米、红糖共煮作粥；后入陈皮末1沸后即可食用。每日1剂，早、晚分服。|用于肾炎患者。
553|内科|肾小球肾炎|桃仁粥|核桃仁30克、枸杞子30克、红枣10个、粳米60克。|将几味共煮成粥，1日内任意服完，可常服。|适肾虚型肾炎。
554|内科|肾盂肾炎|山楂糖饮|生山楂90克、白糖30克。|上二味水煎，每日1次，半月为1个疗程。|用于急、慢性肾盂肾炎。
555|内科|肾盂肾炎|苦菜蜜饮|苦菜50克、车前草50克、蜂蜜适量。|将前二味水煎，加蜂蜜调匀，频频代茶饮，每日1剂。|适用肾盂肾炎。
556|内科|肾盂肾炎|蓉芪大蒜煎|肉苁蓉15克、黄芪15克、冬瓜皮30克、大蒜2头。|大蒜去皮后与另几味加水煎服。每日1剂。|可用于慢性肾盂肾炎。
557|内科|肾盂肾炎|山楂粥|山楂90克、粳米6O克。|将山楂去核洗净，先煮粳米，2沸以后入山楂煮粥，可加适量白糖调味，每日1剂。|可治疗肾盂肾炎。
558|内科|消渴|鲜洋葱猪肉|鲜洋葱100克、瘦猪肉60克。|先将猪肉煮熟，后下洋葱熟后食服。每日2次，可长期坚持服用。|适糖尿病尿频量多者。
559|内科|消渴|米须枸杞煎|玉米须100克。枸杞根70克。|上二味水煎，每日1剂，可长期服用。|适尿频混浊。
560|内科|消渴|树胶蚕蛹煎|桃树胶50克、蚕茧10只。|上二味水煎服。代茶饮。|糖尿病
561|内科|消渴|鲍鱼萝卜煎|鲍鱼25克、鲜萝卜30克。|萝卜去皮，与鲍鱼煲汤服食。隔日服。7次为1个疗程，连用数疗程。|糖尿病佐餐。
562|内科|消渴|菠菜鸡金煎子|鲜菠菜根100克、鸡内金15克。|上二味水煎服。每日2次。|糖尿病小便频数。
563|内科|消渴|南瓜子煎子|南瓜子30克。|将南瓜子炒熟后水煎服。每日1剂，长期使用。|适一般消渴症。
564|内科|消渴|葵花子方|葵花子适量。|每次饭前空腹服食。长期使用。|适一般消渴。
565|内科|消渴|花粉双皮饮|西瓜皮25克、冬瓜皮20克、天花粉15克。|上几味水煎服。每日1剂，分2次服。|适口渴者饮。
566|内科|消渴|麦麩蛋菜蒸食|麦麸200克、面粉100克、鸡蛋1只、蔬菜500克、食油适量。|将几味拌合，蒸熟食用。可长期食。|适一般消渴病人食用。
567|内科|消渴|猪胰汤|猪胰1具、鸡蛋3只、菠菜60克。|先将猪胰切片煮熟，加入鸡蛋、菠菜1沸以后即可，连汤食用。每日1剂，连服数剂。|适一般消渴症。
568|内科|消渴|针草荷包蛋|干鬼针草30克、鸡蛋1只。|将前味水煎，打荷包蛋食之，每日服2次。|一般消渴。
569|内科|消渴|枸杞兔肉汤|枸杞子15克、兔肉250克、调料少许。|将上二味加水炖熟，后加调味品淡调味，饮汤食肉。每日食服1次。|糖尿病佐餐。
570|内科|消渴|赤豆羊肺汤|羊肺1具、赤小豆50克。|上二味井煮熟食之，每日1剂。|适用消渴症多饮尿频者。
571|内科|消渴|虫草老鸭|冬虫夏草250克、老雄鸭1只。|将鸭洗净，冬虫夏草纳于鸭腹内，加水适量。放瓦锅内隔水炖熟，淡调味后服食。每日1次。|适尿频者。
572|内科|消渴|花粉猪胰丸|猪胰250克、山药120克、花粉120克。|先将山药、天花粉研细末，将猪胰捣烂与药为丸，每日3次，每次9克。煮熟后服食饮汤，20天为1个疗程。|适消渴多食者。
573|内科|消渴|胡萝卜粳米粥|鲜胡萝卜60克、粳米60克。|将胡萝卜洗净切碎，与粳米共煮粥食。每日2次，空腹食用。|糖尿病佐餐。
574|内科|消渴|马乳饮子|马乳|每日3次，空腹服1茶杯。|糖尿病佐餐。
575|内科|消渴|茶叶鲫鱼|鲫鱼1条、茶叶适量。|鲫鱼去内脏留鳞，以茶叶填满，纸包煨熟食。每日1次，连用数日。|适消渴症口渴引饮。
576|内科|消渴|冬瓜汁|冬瓜1枚|冬瓜削去皮，埋于湿地中，1月后取出，破开后饮其汁。|适口渴引饮。
577|内科|消渴|黑豆散|牛胆1具、黑豆适量。|将黑豆放于牛胆中，阴干100天。取出后研细末，每日3次，每次服3克。|适口渴多饮。
578|内科|消渴|花粉扁豆散|白扁豆适量、元花粉适量。|白扁豆水浸去皮焙干，研成细末，天花粉等量。拌匀，每日2次，每次10克。|适消渴饮水量多。
579|内科|消渴|山药粳米粥|山药60克(鲜品120克）、粳米60克。|将山药洗净切片，与米共煮成粥，每日2次，四季餐用。|适糖尿病多食。
580|内科|消渴|南瓜汤|南瓜250克。|南瓜煮汤，每日2次，空腹食用。服1个月为1个疗程。|适用多食者。
581|内科|消渴|泻白麦冬粥|地骨皮30克、桑白皮15克、麦冬15克、面粉100克。|前三味药水煎，去渣取汁，入面粉共煮为稀粥，空腹食用。|适口渴多饮。
582|内科|消渴|米粥饮子|陈久小米100克。|将小米煮成稀粥随量食用。|适消渴症口渴多饮。
583|内科|消渴|青粱米粥|青粱米100克。|将米煮成粥，空腹食用。|适用糖尿病引起之周身乏力。
584|内科|消渴|石榴止渴方|鲜番石榴适量。|每天食石榴5个。|适口渴引饮，
585|内科|消渴|苦瓜榴干煎|苦瓜1条、番石榴干2个。|上二味水煎服。每日1剂。|适消渴症烦渴多饮。
586|内科|消渴|苦瓜散|苦瓜适量|将苦瓜焙干研成粉，每日服3次，每次12克。温水送服。半月为1个疗程。|适一般消渴症。
587|内科|消渴|瓜皮冬黄煎|冬瓜皮100克、麦冬40克、黄连15克。|上三味水煎，每日1剂，分3次服。|适消渴症多饮多食。
588|内科|消渴|豆苗汁饮|嫩豌豆苗适量。|将豆苗捣烂后绞汁，每日2次，每次饮半杯。|适一般消渴症。
589|内科|消渴|薯叶冬瓜汤|番薯鲜叶10克、鲜冬瓜150克。|上二味水煎服。每日1剂。|适消渴症。另方:番薯干藤50克、干冬瓜皮25克，服法、适应症同上。
590|内科|消渴|豇豆汤|带壳豇豆（干品）100克。|上味水煎服。吃豆饮渴，每日1剂，长期坚持。|适一般消渴症。
591|内科|消渴|田螺消渴方|田螺100只。|将田螺养于清水中漂去泥，煎水饮汁，每周1次，可长期食用。|适一般消渴症。
592|内科|消渴|洋姜饮子|洋姜根25克(鲜品80克).|上味水煎服。每日1剂。|糖尿病辅助疗方。
593|内科|消渴|桑糯煎子|糯米50克、桑白皮40克。|将糯米爆成米花，与桑白皮水煎，每日1剂，分2次服。|适一般消渴症。
594|内科|消渴|葛根粳米粥|葛根粉30克、粳米60克。|葛根粉即鲜葛根洗净切片，水磨澄取淀粉，晒干即可。与粳米共煮成粥，早、晚餐各食服1次。|适一般消渴症。
595|内科|消渴|苦瓜蚌肉汤|苦瓜250克、蚌肉100克。|将活蚌养于清水中，清除泥味后取其肉，与苦瓜共煮汤，淡调味，吃苦瓜、蚌肉饮其汤。每日1剂。|适口渴多饮。
596|内科|消渴|山药羊肚|羊肚150克、山药150克。|先煮羊肚，熟后入山药炖至烂，淡调味，空腹食用。每日1剂。|适应尿频量多。
597|内科|消渴|猪脊茯苓煎|猪脊骨500克、土茯苓50克。|将猪脊骨加水煎，去骨及浮油，入土茯苓，再煎，每日1剂，分2次服完。|消渴症。
598|内科|消渴|上猪脊莲枣粥|猪脊骨1具、红枣150克、木香3克、莲子肉100克、甘草10克。|将猪脊骨洗净剁碎，木香、甘草以纱布包扎，上各味共置于锅中，加水适量。以文火炖4小时，分顿食用。饮汤食莲子、枣、肉。|糖尿病佐餐。
599|内科|消渴|萝卜粳米粥|鲜萝卜250克、粳米100克。|萝卜铣净切碎，同粳米煮粥，早、晚餐食用。|糖尿病佐餐。
600|内科|甲状腺机能亢进|蕃茄豆腐汤|豆腐4块、西红柿150克。木耳、冬笋、豌豆各15克、湿淀粉、食用油各9克。调味品少许。|将几味共烩汤服食。隔日1次。|可用做甲亢患者的膳食。
601|内科|甲状腺机能亢进|豆麻鲫鱼汤|豆腐4块、鲫鱼500克、调味品适量。|上几味共炖汤服食。每日1次。|甲亢患者可服食。
602|内科|甲状腺机能亢进|蚝豉元鱼汤|蚝豉100克、元鱼肉50克、柏子仁、昆布、酸枣仁、白马各25克、大枣去核10枚。|以上诸味共煮汤服。每日2次温服。|用于甲亢见心慌、汗多者。
603|内科|甲状腺机能亢进|青柿蜂蜜膏|未成熟青柿1000克、蜂蜜适量。|将青柿子洗干净，去蒂，切碎捣烂，绞取原汁。取汁放于火上煎至稠粘状，加蜂蜜1倍，再煎2沸备用。每日2次，每次20克。|可用于甲状腺机能亢进者。
604|内科|甲状腺机能亢进|酒调猪靥散|猪靥49付（猪甲状腺体）、沉香6克、真朱砂49粒、桔红12克。|将几味共研为末，每晚睡前以冷酒徐徐服用。6克。|适用甲亢见心悸、气短者。
605|内科|甲状腺机能亢进|人参猪靥散|猪靥27付(猪甲状腺体）、半夏22枚(汤洗去滑）、人参50克。|将上三味共硏为末，每晚临睡前温酒送服5克。|适体虚、心陲、多汗者。
606|内科|甲状腺机能亢进|解郁粳米粥|粳米60克、柴胡9克、郁金15克、佛手9克、海藻15克、红糖适量。|将柴胡、郁金、佛手、海藻煎汤，去渣取汁，入粳米，红糖煮粥，每日1剂，连用15天为1个疗程。|用于甲亢见情绪烦躁不安者。
607|内科|甲状腺机能亢进|麻油海带|海带、麻油各适量。|将海带发开，在开水中过一下，以麻油拌食。可以淡调味，每日服食1〜2次，连续食用。|甲状腺肿胀，甲状腺机能亢进的辅助治疗。
608|内科|自汗、盗汗|粳米小麦粥|粳米100克、浮小麦50克。|将浮小麦水煎，去渣取汁，入粳米煮粥，空腹食用。|用于自汗、盗汗不止。
609|内科|自汗、盗汗|韭菜煎|韭菜60克。|将韭菜洗干净后水煎，每晚睡前服。|用于夜间盗汗。
610|内科|自汗、盗汗|韭黄蛤蜊汤|韭黄150克、蛤蜊肉150克。|上二味加水煎熟，淡调味后食用。每日1剂。|适阴虚盗汗。
611|内科|自汗、盗汗|米粉茶|糯米、小麦麸各100克。|将上二味研为细末，共炒，每日2次，每次9克。以米汤调服。|用于自汗不止。
612|内科|自汗、盗汗|豆皮止汗方|豆腐皮3张、黑豆浆适量。|将豆腐皮用热黑豆浆送服。每日3次，每次1张。|适用自汗.
613|内科|自汗、盗汗|羊肚小麦汤|羊肚200克、浮小麦50克。|将羊肚洗净切细。与浮小麦同加清水煲汤，淡调味后服食。|适自汗、盗汗。
614|内科|自汗、盗汗|红单凤衣汤|凤凰衣(鸡蛋二层皮)7个、红枣5个。|上二味水煎服。每日1剂。|用于盗汗。
615|内科|自汗、盗汗|葵茎枣汤|向日葵杆芯30克、红枣10枚。|上二味水煎服。每日1剂。|用于体虚、盗汗。
616|内科|自汗、盗汗|参枣汤|沙参50克、红枣10枚、白糖60克。|将前二味煎后加糖服。|用于午后潮热、盗汗。
617|内科|自汗、盗汗|桑叶冲剂|霜桑叶5克。|将桑叶焙干研末，以米汤送服。每日2次。|适用盗汗。
618|内科| 阳萎、遗精|壮阳补肾汤|羊肾1对、枸杞子10克、党参10克、肉苁蓉10克。|上几味共水煎，饮汤食肾。每日1次。|适肾虚阳萎伴多梦、乏力等症。
619|内科| 阳萎、遗精|猪肾壮阳汤|猪肾1对、黄芪15克、炙甘草6克、核桃仁50克。党参15克。|将猪肾洗干净，去筋内膜，切片，然后与其它几味共煮，熟后去药渣，食肾饮汤。隔日服1剂，5剂为1个疗程。|适肾虚阳萎。
620|内科| 阳萎、遗精|海参粳米粥|海参50克、粳米100克。|先将海参煮烂切细，再与粳米共煮作粥，淡调味后空腹食用。|适肾虚阳萎。
621|内科| 阳萎、遗精|韭菜炒羊腰|韭菜15O克、羊肾120克。|上二味放铁锅内炒，后调味。每日1次，10天为1个疗程。|适肾阳不足之阳萎。
